,Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
5535,COMMUNITY HOSPITAL INC,10034,AL,READM-30-PN-HRRP,100,1.0165,16.0,15.8,17.0,07/01/2010,06/30/2013
8419,MENA REGIONAL HEALTH SYSTEM,40015,AR,READM-30-HF-HRRP,100,0.9769,20.3,20.8,19.0,07/01/2010,06/30/2013
8655,PARK PLAZA HOSPITAL,450659,TX,READM-30-PN-HRRP,100,0.9736,17.6,18.1,16.0,07/01/2010,06/30/2013
10763,SAINT JAMES HOSPITAL,140161,IL,READM-30-COPD-HRRP,100,0.9411,19.5,20.7,15.0,07/01/2010,06/30/2013
7915,KINGS MOUNTAIN HOSPITAL INC,340037,NC,READM-30-PN-HRRP,100,0.9833,16.0,16.3,15.0,07/01/2010,06/30/2013
8900,FLORIDA HOSPITAL CARROLLWOOD,100069,FL,READM-30-PN-HRRP,100,0.9701,15.8,16.3,14.0,07/01/2010,06/30/2013
8902,SENTARA OBICI HOSPITAL,490044,VA,READM-30-AMI-HRRP,100,0.97,18.7,19.3,17.0,07/01/2010,06/30/2013
3394,ERIE COUNTY MEDICAL CENTER,330219,NY,READM-30-PN-HRRP,100,1.0532,19.8,18.8,23.0,07/01/2010,06/30/2013
11675,ST LUKE'S SUGAR LAND HOSPITAL,670053,TX,READM-30-PN-HRRP,100,0.9215,17.0,18.4,12.0,07/01/2010,06/30/2013
2580,SAINTS  MEDICAL CENTER INC,220082,MA,READM-30-AMI-HRRP,100,1.0703,20.2,18.9,24.0,07/01/2010,06/30/2013
618,"CLINTON COUNTY HOSPITAL, INC",180106,KY,READM-30-HF-HRRP,100,1.1575,25.3,21.9,34.0,07/01/2010,06/30/2013
9038,BELLEVUE HOSPITAL,360107,OH,READM-30-HF-HRRP,100,0.9684,21.9,22.6,20.0,07/01/2010,06/30/2013
9641,EASTLAND MEMORIAL HOSPITAL,450411,TX,READM-30-PN-HRRP,100,0.96,15.4,16.0,13.0,07/01/2010,06/30/2013
7749,NASON HOSPITAL,390062,PA,READM-30-HF-HRRP,100,0.9855,20.8,21.1,20.0,07/01/2010,06/30/2013
5092,ENNIS REGIONAL MEDICAL CENTER,450833,TX,READM-30-COPD-HRRP,101,1.0232,22.0,21.5,24.0,07/01/2010,06/30/2013
6788,SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL,30123,AZ,READM-30-COPD-HRRP,101,0.9982,19.9,20.0,20.0,07/01/2010,06/30/2013
4351,BROOKDALE HOSPITAL MEDICAL CENTER,330233,NY,READM-30-PN-HRRP,101,1.0354,20.6,19.9,23.0,07/01/2010,06/30/2013
2837,BROOKS MEMORIAL HOSPITAL,330229,NY,READM-30-HF-HRRP,101,1.0649,24.0,22.6,28.0,07/01/2010,06/30/2013
5417,CUMBERLAND RIVER HOSPITAL,440141,TN,READM-30-COPD-HRRP,101,1.0186,19.5,19.1,21.0,07/01/2010,06/30/2013
4394,SAN FRANCISCO GENERAL HOSPITAL,50228,CA,READM-30-COPD-HRRP,101,1.0347,19.3,18.7,22.0,07/01/2010,06/30/2013
10471,SOMERSET HOSPITAL,390039,PA,READM-30-PN-HRRP,101,0.9467,16.1,17.0,13.0,07/01/2010,06/30/2013
10343,MERCY GILBERT MEDICAL CENTER,30119,AZ,READM-30-AMI-HRRP,101,0.9489,16.6,17.5,14.0,07/01/2010,06/30/2013
5371,MCKENZIE-WILLAMETTE MEDICAL CENTER,380020,OR,READM-30-AMI-HRRP,101,1.0193,15.8,15.5,17.0,07/01/2010,06/30/2013
6443,EAST TEXAS MEDICAL CENTER MOUNT VERNON,450373,TX,READM-30-PN-HRRP,101,1.0034,17.6,17.6,18.0,07/01/2010,06/30/2013
11587,J C BLAIR MEMORIAL HOSPITAL,390056,PA,READM-30-COPD-HRRP,101,0.9236,17.5,18.9,12.0,07/01/2010,06/30/2013
2576,TITUSVILLE HOSPITAL,390122,PA,READM-30-HF-HRRP,101,1.0704,21.9,20.4,26.0,07/01/2010,06/30/2013
5015,FOUNDATION SURGICAL HOSPITAL OF EL PASO,450877,TX,READM-30-PN-HRRP,101,1.0243,15.5,15.1,17.0,07/01/2010,06/30/2013
5118,TRINITY MUSCATINE,160013,IA,READM-30-HF-HRRP,101,1.0229,22.5,22.0,24.0,07/01/2010,06/30/2013
11948,YALOBUSHA GENERAL HOSPITAL,250061,MS,READM-30-COPD-HRRP,101,0.9142,18.4,20.1,12.0,07/01/2010,06/30/2013
9520,MERCY SUBURBAN HOSPITAL,390116,PA,READM-30-PN-HRRP,101,0.9616,17.2,17.9,15.0,07/01/2010,06/30/2013
12290,BARNES-JEWISH WEST COUNTY HOSPITAL,260162,MO,READM-30-HF-HRRP,101,0.9038,19.6,21.7,14.0,07/01/2010,06/30/2013
9862,SOUTHWEST MEDICAL CENTER,170068,KS,READM-30-COPD-HRRP,101,0.9565,19.1,19.9,16.0,07/01/2010,06/30/2013
12161,MONMOUTH MEDICAL CENTER,310075,NJ,READM-30-AMI-HRRP,101,0.908,19.1,21.1,14.0,07/01/2010,06/30/2013
6963,SAN RAMON REGIONAL MEDICAL CTR,50689,CA,READM-30-COPD-HRRP,101,0.9959,19.1,19.2,19.0,07/01/2010,06/30/2013
7930,SOUTHWEST REGIONAL MEDICAL CENTER,360116,OH,READM-30-HF-HRRP,101,0.9831,22.8,23.2,22.0,07/01/2010,06/30/2013
12455,SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL,230003,MI,READM-30-HF-HRRP,101,0.8977,20.0,22.3,14.0,07/01/2010,06/30/2013
4098,COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR,110101,GA,READM-30-COPD-HRRP,101,1.0396,18.1,17.4,21.0,07/01/2010,06/30/2013
10746,VENTURA COUNTY MEDICAL CENTER,50159,CA,READM-30-PN-HRRP,101,0.9414,15.3,16.3,12.0,07/01/2010,06/30/2013
7361,OHIO VALLEY GENERAL HOSPITAL,390157,PA,READM-30-COPD-HRRP,101,0.9907,19.5,19.7,19.0,07/01/2010,06/30/2013
2118,KINGS MOUNTAIN HOSPITAL INC,340037,NC,READM-30-HF-HRRP,101,1.0824,25.0,23.1,30.0,07/01/2010,06/30/2013
4059,SLIDELL MEMORIAL HOSPITAL,190040,LA,READM-30-AMI-HRRP,101,1.0403,17.7,17.0,20.0,07/01/2010,06/30/2013
7038,ALEGENT HEALTH MERCY HOSPITAL,160028,IA,READM-30-AMI-HRRP,101,0.9949,17.1,17.2,17.0,07/01/2010,06/30/2013
1909,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,40076,AR,READM-30-HF-HRRP,101,1.0891,23.7,21.8,29.0,07/01/2010,06/30/2013
3443,D W MCMILLAN MEMORIAL HOSPITAL,10099,AL,READM-30-HF-HRRP,102,1.0522,20.7,19.7,24.0,07/01/2010,06/30/2013
12174,FEATHER RIVER HOSPITAL,50225,CA,READM-30-AMI-HRRP,102,0.9076,19.0,20.9,14.0,07/01/2010,06/30/2013
11686,L V STABLER MEMORIAL HOSPITAL,10150,AL,READM-30-HF-HRRP,102,0.9211,18.2,19.8,14.0,07/01/2010,06/30/2013
7469,SAMARITAN ALBANY GENERAL HOSPITAL,380022,OR,READM-30-COPD-HRRP,102,0.989,19.4,19.6,19.0,07/01/2010,06/30/2013
5627,MORRIS HOSPITAL & HEALTHCARE CENTERS,140101,IL,READM-30-AMI-HRRP,102,1.0153,16.9,16.6,18.0,07/01/2010,06/30/2013
7325,VIRGINIA MASON MEDICAL CENTER,500005,WA,READM-30-COPD-HRRP,102,0.9912,19.3,19.4,19.0,07/01/2010,06/30/2013
3492,NIAGARA FALLS MEMORIAL MEDICAL CENTER,330065,NY,READM-30-PN-HRRP,102,1.051,18.6,17.7,22.0,07/01/2010,06/30/2013
2126,PROGRESS WEST HOSPITAL,260219,MO,READM-30-HF-HRRP,102,1.0822,23.9,22.1,29.0,07/01/2010,06/30/2013
4604,MEMORIAL HOSPITAL LOS BANOS,50528,CA,READM-30-PN-HRRP,102,1.0316,18.7,18.2,21.0,07/01/2010,06/30/2013
1784,WALLA WALLA GENERAL HOSPITAL,500049,WA,READM-30-HF-HRRP,102,1.0931,23.3,21.3,29.0,07/01/2010,06/30/2013
6586,HOLLAND COMMUNITY HOSPITAL,230072,MI,READM-30-COPD-HRRP,102,1.0012,19.5,19.5,20.0,07/01/2010,06/30/2013
8831,SAINT JOHN HOSPITAL,170009,KS,READM-30-HF-HRRP,102,0.971,22.3,23.0,21.0,07/01/2010,06/30/2013
2803,DOCTORS HOSPITAL,360152,OH,READM-30-AMI-HRRP,102,1.0654,20.1,18.9,24.0,07/01/2010,06/30/2013
4075,MCKENZIE REGIONAL HOSPITAL,440182,TN,READM-30-COPD-HRRP,102,1.04,18.8,18.1,22.0,07/01/2010,06/30/2013
9976,ST LUKE'S HOSPITAL AT THE VINTAGE,670075,TX,READM-30-HF-HRRP,102,0.9548,21.3,22.3,19.0,07/01/2010,06/30/2013
10061,CARILION FRANKLIN MEMORIAL HOSPITAL,490089,VA,READM-30-COPD-HRRP,102,0.9534,17.0,17.9,14.0,07/01/2010,06/30/2013
8100,WEST HOUSTON MEDICAL CENTER,450644,TX,READM-30-AMI-HRRP,102,0.9808,17.7,18.1,17.0,07/01/2010,06/30/2013
7300,CLARK REGIONAL MEDICAL CENTER,180092,KY,READM-30-HF-HRRP,102,0.9915,23.0,23.2,23.0,07/01/2010,06/30/2013
7702,WESTERN MEDICAL CENTER SANTA ANA,50746,CA,READM-30-PN-HRRP,102,0.9862,17.5,17.7,17.0,07/01/2010,06/30/2013
3277,MILLCREEK COMMUNITY HOSPITAL,390198,PA,READM-30-PN-HRRP,102,1.0556,18.4,17.4,22.0,07/01/2010,06/30/2013
1288,JACOBI MEDICAL CENTER,330127,NY,READM-30-COPD-HRRP,102,1.1124,22.5,20.3,31.0,07/01/2010,06/30/2013
10653,PARKER ADVENTIST HOSPITAL,60114,CO,READM-30-COPD-HRRP,102,0.9433,18.9,20.0,15.0,07/01/2010,06/30/2013
10927,AURORA MEDICAL CENTER,520206,WI,READM-30-PN-HRRP,102,0.9378,17.5,18.7,14.0,07/01/2010,06/30/2013
11002,HI-DESERT MEDICAL CENTER,50279,CA,READM-30-HF-HRRP,102,0.9364,20.4,21.7,17.0,07/01/2010,06/30/2013
1492,PRINCE GEORGES  HOSPITAL CENTER,210003,MD,READM-30-PN-HRRP,102,1.1033,21.4,19.4,28.0,07/01/2010,06/30/2013
1318,TRINITY BETTENDORF,160104,IA,READM-30-COPD-HRRP,102,1.1108,20.9,18.8,29.0,07/01/2010,06/30/2013
9479,CHESTER REGIONAL MEDICAL CENTER,420019,SC,READM-30-COPD-HRRP,103,0.9622,18.2,18.9,16.0,07/01/2010,06/30/2013
8443,PROVIDENCE ST MARY MEDICAL CENTER,500002,WA,READM-30-COPD-HRRP,103,0.9767,19.1,19.6,18.0,07/01/2010,06/30/2013
8761,ST NICHOLAS HOSPITAL,520044,WI,READM-30-COPD-HRRP,103,0.972,19.5,20.0,18.0,07/01/2010,06/30/2013
2982,HABERSHAM COUNTY MEDICAL CTR,110041,GA,READM-30-HF-HRRP,103,1.0616,23.7,22.4,28.0,07/01/2010,06/30/2013
1953,SPOTSYLVANIA REGIONAL MEDICAL CENTER,490141,VA,READM-30-PN-HRRP,103,1.0879,17.5,16.1,23.0,07/01/2010,06/30/2013
9754,NOVANT HEALTH FRANKLIN MEDICAL CENTER,340036,NC,READM-30-HF-HRRP,103,0.9579,20.8,21.8,19.0,07/01/2010,06/30/2013
4989,PALO VERDE HOSPITAL,50423,CA,READM-30-COPD-HRRP,103,1.0247,18.7,18.2,21.0,07/01/2010,06/30/2013
3780,ST JOSEPH MEDICAL CENTER,450035,TX,READM-30-COPD-HRRP,103,1.0452,20.2,19.3,24.0,07/01/2010,06/30/2013
6538,WOODLAND MEMORIAL HOSPITAL,50127,CA,READM-30-PN-HRRP,103,1.0018,16.4,16.4,17.0,07/01/2010,06/30/2013
6792,THEDA CLARK MEDICAL CENTER,520045,WI,READM-30-PN-HRRP,103,0.9981,16.6,16.6,17.0,07/01/2010,06/30/2013
12010,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,30062,AZ,READM-30-HF-HRRP,103,0.9125,18.6,20.4,14.0,07/01/2010,06/30/2013
4974,TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND,670068,TX,READM-30-HF-HRRP,103,1.0249,22.9,22.3,25.0,07/01/2010,06/30/2013
11157,NIX HEALTH CARE SYSTEM,450130,TX,READM-30-PN-HRRP,103,0.9334,14.6,15.6,11.0,07/01/2010,06/30/2013
2435,STANLY REGIONAL MEDICAL CENTER,340119,NC,READM-30-AMI-HRRP,103,1.074,21.4,19.9,26.0,07/01/2010,06/30/2013
7359,HACKETTSTOWN REGIONAL MEDICAL CENTER,310115,NJ,READM-30-AMI-HRRP,103,0.9907,21.9,22.1,22.0,07/01/2010,06/30/2013
8090,SAINT JAMES HOSPITAL,140161,IL,READM-30-PN-HRRP,103,0.981,15.7,16.0,15.0,07/01/2010,06/30/2013
9512,STILLWATER MEDICAL CENTER,370049,OK,READM-30-AMI-HRRP,103,0.9617,17.6,18.3,16.0,07/01/2010,06/30/2013
11898,BELOIT MEMORIAL HOSPITAL,520100,WI,READM-30-AMI-HRRP,103,0.9154,15.2,16.6,11.0,07/01/2010,06/30/2013
10971,CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-AMI-HRRP,103,0.937,17.0,18.1,14.0,07/01/2010,06/30/2013
7236,CHRISTUS SPOHN HOSPITAL KLEBERG,450163,TX,READM-30-COPD-HRRP,103,0.9923,19.0,19.1,19.0,07/01/2010,06/30/2013
10512,UW HEALTH PARTNERS  WATERTOWN REGIONAL MED CTR,520116,WI,READM-30-HF-HRRP,103,0.9462,22.6,23.9,20.0,07/01/2010,06/30/2013
9166,UNM HOSPITAL,320001,NM,READM-30-COPD-HRRP,103,0.9665,18.9,19.6,17.0,07/01/2010,06/30/2013
7423,HOLY CROSS HOSPITAL,140133,IL,READM-30-AMI-HRRP,103,0.9899,20.9,21.2,21.0,07/01/2010,06/30/2013
10205,CASTLE MEDICAL CENTER,120006,HI,READM-30-COPD-HRRP,103,0.951,18.1,19.0,15.0,07/01/2010,06/30/2013
8597,DOUGLAS COUNTY HOSPITAL,240030,MN,READM-30-HF-HRRP,103,0.9745,18.9,19.4,18.0,07/01/2010,06/30/2013
9607,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL,450351,TX,READM-30-COPD-HRRP,103,0.9605,17.3,18.1,15.0,07/01/2010,06/30/2013
8699,MCLEOD LORIS SEACOAST HOSPITAL,420105,SC,READM-30-COPD-HRRP,103,0.9731,18.4,18.9,17.0,07/01/2010,06/30/2013
5028,LAUREL REGIONAL MEDICAL CENTER,210055,MD,READM-30-PN-HRRP,103,1.024,17.1,16.7,19.0,07/01/2010,06/30/2013
2268,UPPER VALLEY MEDICAL CENTER,360174,OH,READM-30-AMI-HRRP,103,1.078,21.2,19.6,26.0,07/01/2010,06/30/2013
10883,NORTH TEXAS MEDICAL CENTER,450090,TX,READM-30-HF-HRRP,103,0.9386,21.0,22.4,18.0,07/01/2010,06/30/2013
4269,GREATER EL MONTE COMMUNITY HOSPITAL,50738,CA,READM-30-COPD-HRRP,103,1.0366,23.5,22.7,27.0,07/01/2010,06/30/2013
7356,NORTH SUBURBAN MEDICAL CENTER,60065,CO,READM-30-PN-HRRP,104,0.9908,18.8,19.0,19.0,07/01/2010,06/30/2013
4363,VAL VERDE REGIONAL MEDICAL CENTER,450154,TX,READM-30-COPD-HRRP,104,1.0353,20.6,19.9,24.0,07/01/2010,06/30/2013
7431,AURORA MEDICAL CTR OSHKOSH,520198,WI,READM-30-HF-HRRP,104,0.9897,21.7,22.0,22.0,07/01/2010,06/30/2013
2786,SENTARA NORTHERN VIRGINIA MEDICAL CENTER,490113,VA,READM-30-AMI-HRRP,104,1.0657,19.7,18.5,24.0,07/01/2010,06/30/2013
3117,PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,PA,READM-30-AMI-HRRP,104,1.0585,18.2,17.2,22.0,07/01/2010,06/30/2013
6764,NATCHEZ REGIONAL MEDICAL CENTER,250084,MS,READM-30-COPD-HRRP,104,0.9986,16.4,16.5,17.0,07/01/2010,06/30/2013
11952,HOWARD YOUNG MEDICAL CTR,520091,WI,READM-30-COPD-HRRP,104,0.9141,17.8,19.5,12.0,07/01/2010,06/30/2013
3132,NORTH OKALOOSA MEDICAL CENTER,100122,FL,READM-30-AMI-HRRP,104,1.0583,21.0,19.8,25.0,07/01/2010,06/30/2013
11970,SEQUOIA HOSPITAL,50197,CA,READM-30-AMI-HRRP,104,0.9136,17.3,18.9,13.0,07/01/2010,06/30/2013
11558,MARY RUTAN HOSPITAL,360197,OH,READM-30-COPD-HRRP,104,0.9245,19.0,20.5,14.0,07/01/2010,06/30/2013
10401,ST JAMES MERCY HOSPITAL,330151,NY,READM-30-COPD-HRRP,104,0.9479,20.2,21.3,17.0,07/01/2010,06/30/2013
11979,WINONA HEALTH SERVICES,240044,MN,READM-30-COPD-HRRP,104,0.9133,17.8,19.5,12.0,07/01/2010,06/30/2013
4923,MID-COLUMBIA MEDICAL CENTER,380001,OR,READM-30-COPD-HRRP,104,1.0258,18.4,18.0,21.0,07/01/2010,06/30/2013
4866,TRUMAN MEDICAL CENTER HOSPITAL HILL,260048,MO,READM-30-COPD-HRRP,104,1.0267,23.1,22.5,26.0,07/01/2010,06/30/2013
9153,GILBERT HOSPITAL,30120,AZ,READM-30-PN-HRRP,104,0.9667,14.4,14.9,13.0,07/01/2010,06/30/2013
469,SUSAN B ALLEN MEMORIAL HOSPITAL,170017,KS,READM-30-COPD-HRRP,104,1.1768,21.3,18.1,34.0,07/01/2010,06/30/2013
4993,TRUMAN MEDICAL CENTER HOSPITAL HILL,260048,MO,READM-30-HF-HRRP,104,1.0246,24.5,24.0,27.0,07/01/2010,06/30/2013
6372,COMMUNITY MEDICAL CENTER INC,270023,MT,READM-30-HF-HRRP,104,1.0043,20.9,20.8,22.0,07/01/2010,06/30/2013
2198,INTERFAITH MEDICAL CENTER,330397,NY,READM-30-COPD-HRRP,104,1.0801,24.2,22.4,31.0,07/01/2010,06/30/2013
5169,TEXAS REGIONAL MEDICAL CENTER AT SUNNYVALE,670060,TX,READM-30-AMI-HRRP,104,1.0222,17.1,16.8,19.0,07/01/2010,06/30/2013
3025,UNIVERSITY HEALTH SHREVEPORT,190098,LA,READM-30-AMI-HRRP,104,1.0607,15.3,14.5,19.0,07/01/2010,06/30/2013
10677,FAIRVIEW PARK HOSPITAL,110125,GA,READM-30-AMI-HRRP,104,0.9428,17.5,18.6,15.0,07/01/2010,06/30/2013
6976,UPMC BEDFORD MEMORIAL,390117,PA,READM-30-PN-HRRP,104,0.9957,17.6,17.6,18.0,07/01/2010,06/30/2013
7898,WILCOX MEMORIAL HOSPITAL,120014,HI,READM-30-PN-HRRP,104,0.9835,14.4,14.6,14.0,07/01/2010,06/30/2013
5798,ALVARADO HOSPITAL MEDICAL CENTER,50757,CA,READM-30-AMI-HRRP,104,1.0128,19.5,19.3,21.0,07/01/2010,06/30/2013
2420,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON,450743,TX,READM-30-AMI-HRRP,104,1.0743,17.5,16.3,22.0,07/01/2010,06/30/2013
5906,HOMER MEMORIAL HOSPITAL,190114,LA,READM-30-COPD-HRRP,104,1.0112,19.4,19.2,21.0,07/01/2010,06/30/2013
10717,PAYSON REGIONAL MEDICAL CENTER,30033,AZ,READM-30-HF-HRRP,105,0.9422,21.4,22.7,19.0,07/01/2010,06/30/2013
4192,SAINT ANTHONY HOSPITAL,140095,IL,READM-30-PN-HRRP,105,1.0382,17.8,17.2,21.0,07/01/2010,06/30/2013
2607,SOUTH SUNFLOWER COUNTY HOSPITAL,250095,MS,READM-30-HF-HRRP,105,1.0698,22.9,21.4,28.0,07/01/2010,06/30/2013
1588,ST JOSEPH HOSPITAL,330332,NY,READM-30-AMI-HRRP,105,1.1,22.5,20.5,29.0,07/01/2010,06/30/2013
7962,GRAHAM REGIONAL MEDICAL CENTER,450085,TX,READM-30-HF-HRRP,105,0.9828,20.0,20.3,20.0,07/01/2010,06/30/2013
3294,UNIVERSITY OF MD SHORE MEDICAL CENTER AT EASTON,210037,MD,READM-30-AMI-HRRP,105,1.0551,20.9,19.9,25.0,07/01/2010,06/30/2013
7436,SOMERSET HOSPITAL,390039,PA,READM-30-HF-HRRP,105,0.9896,21.5,21.8,22.0,07/01/2010,06/30/2013
6036,MURPHY MEDICAL CENTER INC,340160,NC,READM-30-HF-HRRP,105,1.0093,23.3,23.1,25.0,07/01/2010,06/30/2013
3150,WYOMING COUNTY COMMUNITY HOSPITAL,330008,NY,READM-30-PN-HRRP,105,1.058,19.6,18.5,24.0,07/01/2010,06/30/2013
7656,FORT WASHINGTON HOSPITAL,210060,MD,READM-30-PN-HRRP,105,0.9868,17.0,17.2,17.0,07/01/2010,06/30/2013
2796,GRIFFIN HOSPITAL,70031,CT,READM-30-AMI-HRRP,105,1.0655,23.2,21.8,28.0,07/01/2010,06/30/2013
7270,COLUMBUS COMMUNITY HOSPITAL,280111,NE,READM-30-COPD-HRRP,105,0.9919,17.7,17.8,18.0,07/01/2010,06/30/2013
1659,CUMBERLAND RIVER HOSPITAL,440141,TN,READM-30-PN-HRRP,105,1.0974,19.4,17.7,26.0,07/01/2010,06/30/2013
4571,NORTHRIDGE MEDICAL CENTER,110040,GA,READM-30-HF-HRRP,105,1.0321,23.0,22.3,26.0,07/01/2010,06/30/2013
5598,BROWARD HEALTH NORTH,100086,FL,READM-30-AMI-HRRP,105,1.0158,23.0,22.6,25.0,07/01/2010,06/30/2013
1927,DAMERON HOSPITAL,50122,CA,READM-30-HF-HRRP,105,1.0886,26.5,24.3,33.0,07/01/2010,06/30/2013
9193,NORTHERN DUTCHESS HOSPITAL,330049,NY,READM-30-COPD-HRRP,105,0.966,19.6,20.3,18.0,07/01/2010,06/30/2013
8154,DELANO REGIONAL MEDICAL CENTER,50608,CA,READM-30-PN-HRRP,105,0.9801,17.3,17.7,17.0,07/01/2010,06/30/2013
4848,CATAWBA VALLEY MEDICAL CENTER,340143,NC,READM-30-AMI-HRRP,105,1.0273,17.7,17.2,20.0,07/01/2010,06/30/2013
1544,MARION GENERAL HOSPITAL,250085,MS,READM-30-HF-HRRP,105,1.1019,24.1,21.9,31.0,07/01/2010,06/30/2013
8337,SEQUOYAH COUNTY CITY OF SALLISAW HOSPITAL AUTHORIT,370112,OK,READM-30-PN-HRRP,105,0.9776,15.5,15.9,15.0,07/01/2010,06/30/2013
9033,ST LUKE'S HOSPITAL AT THE VINTAGE,670075,TX,READM-30-PN-HRRP,105,0.9685,17.1,17.6,16.0,07/01/2010,06/30/2013
2015,EAST TEXAS MEDICAL CENTER TRINITY,450749,TX,READM-30-PN-HRRP,105,1.0854,20.0,18.4,26.0,07/01/2010,06/30/2013
1031,WEST KENDALL BAPTIST HOSPITAL,100314,FL,READM-30-PN-HRRP,105,1.1265,20.5,18.2,29.0,07/01/2010,06/30/2013
12067,SEQUOIA HOSPITAL,50197,CA,READM-30-COPD-HRRP,105,0.911,17.8,19.5,12.0,07/01/2010,06/30/2013
11063,PROVIDENCE HOLY FAMILY HOSPITAL,500077,WA,READM-30-AMI-HRRP,105,0.9351,15.8,16.8,13.0,07/01/2010,06/30/2013
10770,TYLER COUNTY HOSPITAL,450460,TX,READM-30-PN-HRRP,105,0.9409,15.8,16.8,13.0,07/01/2010,06/30/2013
4061,ALAMEDA HOSPITAL,50211,CA,READM-30-COPD-HRRP,105,1.0402,21.0,20.2,25.0,07/01/2010,06/30/2013
6228,NORTH OAK REGIONAL MEDICAL CENTER,250126,MS,READM-30-PN-HRRP,105,1.0064,17.7,17.6,19.0,07/01/2010,06/30/2013
1261,ST ELIZABETH FLORENCE,180045,KY,READM-30-AMI-HRRP,105,1.1137,24.5,22.0,32.0,07/01/2010,06/30/2013
4090,WHEATON FRANCISCAN HEALTHCARE FRANKLIN,520204,WI,READM-30-COPD-HRRP,106,1.0398,21.8,20.9,26.0,07/01/2010,06/30/2013
13012,PROVIDENCE NEWBERG MEDICAL CENTER,380037,OR,READM-30-HF-HRRP,106,0.8681,17.8,20.6,11.0,07/01/2010,06/30/2013
10363,METHODIST WEST HOUSTON HOSPITAL,670077,TX,READM-30-AMI-HRRP,106,0.9486,16.9,17.8,15.0,07/01/2010,06/30/2013
9596,PRESBYTERIAN ST LUKES MEDICAL CENTER,60014,CO,READM-30-HF-HRRP,106,0.9605,21.1,21.9,20.0,07/01/2010,06/30/2013
1679,ENCINO HOSPITAL MEDICAL CENTER,50158,CA,READM-30-HF-HRRP,106,1.0967,26.8,24.4,34.0,07/01/2010,06/30/2013
4033,INTEGRIS CLINTON REGIONAL HOSPITAL,370029,OK,READM-30-HF-HRRP,106,1.0408,22.3,21.5,26.0,07/01/2010,06/30/2013
7020,PARKLAND HEALTH AND HOSPITAL SYSTEM,450015,TX,READM-30-PN-HRRP,106,0.9952,18.2,18.3,19.0,07/01/2010,06/30/2013
5830,GULF COAST MEDICAL CENTER,450214,TX,READM-30-HF-HRRP,106,1.0122,22.9,22.6,25.0,07/01/2010,06/30/2013
12099,PLACENTIA LINDA HOSPITAL,50589,CA,READM-30-HF-HRRP,106,0.9097,19.2,21.2,15.0,07/01/2010,06/30/2013
7002,ARTESIA GENERAL HOSPITAL,320030,NM,READM-30-PN-HRRP,106,0.9954,15.3,15.4,16.0,07/01/2010,06/30/2013
10736,VIERA HOSPITAL,100315,FL,READM-30-PN-HRRP,106,0.9417,14.6,15.5,12.0,07/01/2010,06/30/2013
9455,SAN DIMAS COMMUNITY HOSPITAL,50588,CA,READM-30-HF-HRRP,106,0.9626,23.9,24.8,23.0,07/01/2010,06/30/2013
10111,SUTTER SANTA ROSA REGIONAL HOSPITAL,50291,CA,READM-30-COPD-HRRP,106,0.9526,19.4,20.4,17.0,07/01/2010,06/30/2013
12712,AURORA MEDICAL CTR MANITOWOC COUNTY,520034,WI,READM-30-HF-HRRP,106,0.8859,18.7,21.1,13.0,07/01/2010,06/30/2013
8507,MCKENZIE REGIONAL HOSPITAL,440182,TN,READM-30-PN-HRRP,106,0.9757,15.5,15.9,15.0,07/01/2010,06/30/2013
3812,GEISINGER - BLOOMSBURG HOSPITAL,390003,PA,READM-30-COPD-HRRP,106,1.0447,20.5,19.6,25.0,07/01/2010,06/30/2013
6379,JONES MEMORIAL HOSPITAL,330096,NY,READM-30-HF-HRRP,106,1.0042,21.5,21.4,23.0,07/01/2010,06/30/2013
8332,ERIE COUNTY MEDICAL CENTER,330219,NY,READM-30-COPD-HRRP,106,0.9777,22.4,22.9,22.0,07/01/2010,06/30/2013
8284,COLISEUM NORTHSIDE HOSPITAL,110201,GA,READM-30-COPD-HRRP,106,0.9784,17.5,17.9,17.0,07/01/2010,06/30/2013
5510,SHERMAN OAKS HOSPITAL,50755,CA,READM-30-PN-HRRP,106,1.0169,20.7,20.4,23.0,07/01/2010,06/30/2013
11143,WIREGRASS MEDICAL CENTER,10062,AL,READM-30-HF-HRRP,106,0.9335,19.7,21.1,17.0,07/01/2010,06/30/2013
11330,MAYO CLINIC HEALTH SYSTEM - ALBERT LEA,240043,MN,READM-30-HF-HRRP,106,0.9296,20.0,21.5,17.0,07/01/2010,06/30/2013
9381,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,30062,AZ,READM-30-COPD-HRRP,106,0.9637,17.6,18.2,16.0,07/01/2010,06/30/2013
